iter	Passed	Remaining
0	46	46170
1	46	23212
2	46	15554
3	47	11804
4	47	9496
5	47	7950
6	49	6985
7	49	6146
8	49	5489
9	50	4964
10	50	4534
11	50	4178
12	51	3874
13	51	3615
14	51	3390
15	51	3192
16	52	3019
17	52	2865
18	52	2727
19	53	2602
20	53	2489
21	53	2386
22	54	2293
23	54	2208
24	54	2129
25	54	2056
26	55	1989
27	55	1925
28	55	1867
29	56	1813
30	56	1762
31	56	1716
32	59	1734
33	59	1697
34	60	1655
35	60	1618
36	60	1580
37	61	1544
38	61	1510
39	61	1479
40	61	1448
41	62	1419
42	62	1391
43	63	1371
44	63	1345
45	63	1320
46	63	1297
47	64	1274
48	64	1253
49	64	1233
50	65	1213
51	65	1193
52	65	1175
53	66	1157
54	66	1140
55	66	1123
56	66	1107
57	67	1093
58	67	1078
59	68	1066
60	68	1052
61	68	1038
62	68	1026
63	69	1013
64	69	1000
65	69	989
66	70	977
67	70	966
68	70	955
69	71	945
70	71	935
71	72	930
72	72	921
73	73	919
74	73	910
75	74	907
76	74	898
77	75	889
78	75	880
79	75	872
80	76	863
81	76	855
82	76	845
83	76	837
84	77	829
85	77	822
86	77	814
87	77	807
88	78	800
89	78	793
90	78	786
91	79	779
92	79	773
93	79	766
94	79	760
95	80	754
96	80	748
97	80	742
98	80	736
99	81	730
100	81	725
101	81	720
102	82	714
103	82	709
104	82	705
105	83	701
106	83	696
107	83	691
108	84	687
109	84	683
110	84	678
111	85	674
112	85	670
113	85	666
114	86	661
115	86	659
116	86	654
117	87	650
118	87	647
119	87	643
120	88	639
121	88	635
122	88	631
123	88	627
124	89	623
125	89	620
126	89	616
127	89	612
128	90	610
129	90	607
130	91	604
131	91	601
132	91	597
133	91	594
134	92	591
135	92	588
136	92	585
137	93	582
138	93	579
139	93	576
140	94	573
141	94	569
142	94	566
143	94	563
144	95	561
145	95	558
146	95	555
147	96	552
148	96	550
149	96	547
150	96	545
151	97	542
152	97	540
153	97	537
154	98	535
155	98	532
156	98	530
157	99	527
158	99	525
159	99	522
160	99	520
161	100	517
162	100	515
163	100	513
164	100	510
165	101	508
166	101	506
167	101	504
168	102	502
169	102	501
170	102	499
171	103	497
172	103	495
173	105	499
174	105	498
175	106	496
176	106	494
177	106	494
178	107	492
179	107	491
180	108	489
181	108	487
182	108	486
183	109	484
184	109	482
185	109	480
186	110	479
187	110	477
188	110	475
189	111	474
190	111	472
191	111	471
192	112	469
193	112	467
194	113	466
195	113	465
196	113	463
197	114	462
198	114	460
199	115	460
200	115	458
201	115	457
202	118	464
203	119	464
204	119	463
205	119	461
206	120	460
207	120	458
208	120	457
209	121	455
210	121	454
211	121	453
212	122	451
213	122	450
214	122	449
215	123	447
216	123	446
217	124	445
218	124	443
219	124	442
220	125	440
221	125	439
222	125	437
223	125	436
224	126	434
225	126	433
226	126	432
227	127	430
228	127	429
229	127	427
230	128	426
231	128	425
232	128	424
233	129	423
234	129	421
235	129	420
236	130	419
237	130	417
238	130	416
239	131	414
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	407
246	133	406
247	133	404
248	133	403
249	134	402
250	134	401
251	134	399
252	135	398
253	135	397
254	135	396
255	136	397
256	137	396
257	137	395
258	137	394
259	138	393
260	138	392
261	138	391
262	139	390
263	139	389
264	139	387
265	140	386
266	140	385
267	140	384
268	141	383
269	141	382
270	141	381
271	142	380
272	142	379
273	142	378
274	142	376
275	143	376
276	143	375
277	144	374
278	144	373
279	144	372
280	145	372
281	145	371
282	146	370
283	146	369
284	146	368
285	147	367
286	147	366
287	147	365
288	148	364
289	148	363
290	148	362
291	149	362
292	149	361
293	150	360
294	150	360
295	151	359
296	151	358
297	151	357
298	152	357
299	152	356
300	153	355
301	153	354
302	153	353
303	153	352
304	154	351
305	154	350
306	154	349
307	155	348
308	156	350
309	157	349
310	157	349
311	157	348
312	158	347
313	158	346
314	158	345
315	159	344
316	159	343
317	159	342
318	160	341
319	160	340
320	160	340
321	161	339
322	161	338
323	161	337
324	162	337
325	162	336
326	162	335
327	163	334
328	163	333
329	163	332
330	165	334
331	166	334
332	166	333
333	166	332
334	166	331
335	167	330
336	167	329
337	167	328
338	168	327
339	168	327
340	168	326
341	169	325
342	169	324
343	169	323
344	170	323
345	170	322
346	171	322
347	171	321
348	171	320
349	172	319
350	172	318
351	172	317
352	173	317
353	173	316
354	173	315
355	174	315
356	174	314
357	174	313
358	175	312
359	176	314
360	177	313
361	177	312
362	177	311
363	178	311
364	178	310
365	178	309
366	179	309
