iter	Passed	Remaining
0	46	46358
1	46	23303
2	46	15616
3	47	11767
4	47	9461
5	47	7922
6	48	6824
7	48	5999
8	48	5358
9	48	4845
10	49	4424
11	49	4075
12	49	3779
13	50	3526
14	50	3307
15	50	3117
16	50	2948
17	51	2796
18	51	2661
19	51	2538
20	52	2427
21	52	2327
22	52	2235
23	52	2151
24	53	2074
25	53	2002
26	53	1935
27	53	1873
28	54	1816
29	54	1763
30	54	1713
31	55	1666
32	55	1622
33	55	1580
34	55	1541
35	56	1505
36	56	1470
37	56	1437
38	57	1405
39	57	1375
40	57	1347
41	57	1320
42	58	1294
43	58	1269
44	58	1245
45	58	1222
46	59	1199
47	59	1177
48	59	1156
49	59	1136
50	60	1118
51	60	1099
52	60	1082
53	60	1065
54	61	1049
55	61	1033
56	61	1018
57	61	1004
58	62	989
59	62	976
60	62	963
61	62	950
62	63	938
63	63	926
64	63	914
65	63	903
66	64	892
67	64	881
68	64	872
69	64	862
70	65	852
71	65	842
72	65	833
73	65	824
74	66	815
75	66	806
76	66	798
77	66	790
78	67	782
79	67	774
80	67	766
81	67	759
82	67	750
83	68	743
84	68	736
85	68	730
86	68	723
87	69	717
88	69	710
89	69	704
90	69	698
91	70	692
92	72	709
93	73	704
94	73	698
95	73	693
96	73	687
97	74	682
98	74	676
99	74	671
100	74	666
101	75	661
102	75	656
103	75	651
104	75	646
105	76	641
106	76	637
107	76	632
108	76	628
109	77	623
110	77	622
111	78	618
112	78	614
113	78	610
114	78	606
115	79	602
116	79	597
117	79	593
118	79	590
119	79	586
120	80	582
121	80	578
122	80	575
123	80	571
124	81	567
125	81	564
126	81	560
127	81	557
128	82	554
129	82	551
130	82	547
131	82	544
132	83	541
133	83	538
134	83	535
135	83	532
136	84	529
137	84	526
138	84	523
139	84	520
140	85	517
141	85	514
142	85	511
143	85	508
144	85	506
145	86	503
146	86	501
147	86	498
148	86	495
149	87	493
150	87	490
151	87	488
152	87	485
153	88	483
154	88	481
155	88	478
156	88	476
157	88	474
158	89	471
159	89	469
160	89	466
161	89	464
162	90	462
163	90	460
164	90	458
165	90	456
166	91	454
167	91	452
168	91	450
169	91	448
170	92	446
171	92	444
172	92	442
173	92	440
174	93	438
175	93	436
176	93	434
177	93	433
178	94	431
179	94	429
180	94	427
181	94	425
182	95	424
183	95	422
184	95	420
185	95	418
186	95	417
187	96	415
188	96	413
189	96	412
190	96	410
191	97	409
192	97	407
193	97	405
194	97	404
195	98	402
196	98	401
197	98	399
198	98	398
199	99	396
200	99	395
201	99	393
202	99	392
203	100	390
204	100	389
205	100	388
206	100	386
207	101	385
208	101	383
209	101	382
210	101	381
211	102	379
212	102	378
213	102	377
214	102	375
215	103	374
216	103	373
217	103	371
218	103	370
219	105	373
220	105	371
221	105	370
222	106	370
223	106	368
224	107	369
225	107	368
226	107	367
227	108	366
228	108	365
229	108	364
230	109	364
231	109	362
232	109	362
233	110	361
234	110	360
235	111	359
236	111	358
237	111	357
238	112	356
239	112	355
240	112	355
241	112	353
242	113	353
243	113	352
244	114	351
245	114	350
246	114	350
247	115	349
248	115	348
249	115	347
250	116	346
251	116	345
252	116	344
253	117	344
254	117	343
255	117	342
256	118	342
257	118	341
258	118	340
259	119	339
260	119	338
261	119	337
262	120	337
263	120	336
264	121	335
265	121	334
266	121	334
267	122	333
268	122	332
269	122	331
270	122	330
271	123	329
272	123	328
273	123	327
274	123	326
275	124	325
276	124	324
277	124	324
278	125	323
279	125	322
280	125	321
281	125	320
282	126	319
283	126	318
284	126	317
285	126	316
286	127	315
287	127	314
288	127	314
289	127	313
290	128	312
291	128	311
292	128	310
293	128	309
294	129	308
295	129	307
296	129	307
297	129	306
